member_casual,start_station_name,count(*)
"casual","Clark St & Grace St",281
"casual","MLK Jr Dr & 29th St",109
"casual","Sedgwick St & Webster Ave",261
"casual","Clark St & North Ave",221
"member","Clark St & North Ave",512
"member","Sheridan Rd & Montrose Ave",1008
"member","Clark St & Armitage Ave",1972
"member","Dodge Ave & Church St",82
"casual","Clark St & Wellington Ave",627
"member","Clark St & Wellington Ave",1453
"casual","Halsted St & Roscoe St",699
"member","Halsted St & Roscoe St",1322
"casual","Clark St & Armitage Ave",971
"casual","Sheridan Rd & Montrose Ave",339
"member","Walsh Park",798
"member","Monticello Ave & Irving Park Rd",128
"member","Rush St & Hubbard St",816
"casual","Rush St & Hubbard St",311
"casual","Aberdeen St & Jackson Blvd",298
"member","Shore Dr & 55th St",807
"casual","Carpenter St & Huron St",450
"casual","Southport Ave & Clark St",131
"casual","Clinton St & Madison St",728
"member","Southport Ave & Clark St",232
"casual","Loomis St & Archer Ave",60
"casual","Ashland Ave & Blackhawk St",340
"member","Southport Ave & Belmont Ave",1580
"casual","Winthrop Ave & Lawrence Ave",380
"member","Dearborn Pkwy & Delaware Pl",1954
"member","St. Louis Ave & Fullerton Ave",405
"member","Winthrop Ave & Lawrence Ave",742
"casual","2112 W Peterson Ave",48
"member","Smith Park",247
"member","Dayton St & North Ave",1169
"casual","Ashland Ave & 13th St",56
"member","Green St & Randolph St*",317
"casual","Greenview Ave & Jarvis Ave",165
"casual","Dayton St & North Ave",557
"casual","Green St & Randolph St*",244
"member","Greenview Ave & Jarvis Ave",354
"member","Clark St & Lincoln Ave",1951
"member","Michigan Ave & 14th St",1151
"member","Leavitt St & Addison St",227
"member","Clinton St & Washington Blvd",3111
"member","California Ave & Cortez St",351
"casual","Michigan Ave & 14th St",388
"member","Clark St & 9th St (AMLI)",285
"member","Paulina St & Montrose Ave",340
"casual","Clark St & Lincoln Ave",1138
"casual","Ashland Ave & Wellington Ave",193
"casual","Clark St & 9th St (AMLI)",147
"casual","Clinton St & Washington Blvd",707
"member","Ashland Ave & Wellington Ave",469
"casual","Fairbanks Ct & Grand Ave",477
"casual","Broadway & Barry Ave",1491
"casual","Sheridan Rd & Irving Park Rd",906
"member","Orleans St & Elm St",747
"member","Base - 2132 W Hubbard",28
"member","Noble St & Milwaukee Ave",928
"casual","Orleans St & Elm St",262
"casual","Lawndale Ave & 30th St",39
"casual","Base - 2132 W Hubbard",14
"casual","Noble St & Milwaukee Ave",381
"member","Hoyne Ave & Balmoral Ave",293
"member","Desplaines St & Kinzie St",3552
"casual","Desplaines St & Kinzie St",1201
"casual","Orleans St & Chestnut St (NEXT Apts)",611
"casual","Francisco Ave & Montrose Ave",92
"member","Orleans St & Chestnut St (NEXT Apts)",1291
"casual","Richmond St & Lincoln Ave",26
"casual","Western Ave & Ardmore Ave",28
"member","Ravenswood Ave & Irving Park Rd",402
"casual","Ravenswood Ave & Irving Park Rd",156
"casual","Benson Ave & Church St",505
"member","Clark St & Schiller St",2441
"member","Sheridan Rd & Lawrence Ave",1087
"casual","Sheridan Rd & Lawrence Ave",312
"casual","Clark St & Schiller St",917
"casual","Western Ave & Granville Ave",63
"member","Wolcott (Ravenswood) Ave & Montrose Ave",740
"casual","Cornell Ave & Hyde Park Blvd",243
"casual","Shore Dr & 55th St",405
"casual","Wentworth Ave & 33rd St",88
"casual","Glenwood Ave & Touhy Ave",82
"member","Wentworth Ave & 33rd St",329
"member","Michigan Ave & 8th St",558
"member","Racine Ave & Belmont Ave",494
"member","Artesian Ave & Hubbard St",301
"casual","Larrabee St & Kingsbury St",255
"member","Fairbanks Ct & Grand Ave",1182
"casual","California Ave & Cortez St",202
"casual","Paulina St & Montrose Ave",103
"casual","Western Ave & 104th St",22
"member","Indiana Ave & 26th St",250
"member","Ashland Ave & Belle Plaine Ave",285
"casual","Stetson Ave & South Water St",447
"casual","Hale Ave & 107th St",19
"casual","Clybourn Ave & Division St",258
"member","Canal St & Jackson Blvd",1729
"member","Clark St & Elmdale Ave",494
"member","Warren Park West",156
"member","Columbus Dr & Randolph St",1205
"member","Chicago Ave & Washington St",223
"casual","Columbus Dr & Randolph St",810
"casual","Hampden Ct & Diversey Ave",241
"casual","Clark St & Elmdale Ave",225
"casual","Clark St & Chicago Ave",516
"member","Kedzie Ave & Chicago Ave",58
"member","Clark St & Chicago Ave",907
"member","Hampden Ct & Diversey Ave",483
"member","State St & 33rd St",1624
"member","Western Ave & Gunnison St",78
"casual","Canal St & Jackson Blvd",553
"member","Albany Ave & Bloomingdale Ave",553
"casual","Albany Ave & Bloomingdale Ave",357
"casual","Western Ave & Gunnison St",56
"member","Halsted St & 37th St",44
"casual","California Ave & Francis Pl (Temp)",187
"casual","Lincoln Ave & Addison St",128
"casual","Leavitt St & North Ave",402
"casual","Dearborn Pkwy & Delaware Pl",728
"casual","St. Louis Ave & Fullerton Ave",211
"casual","Public Rack - Spaulding Ave & North Ave",15
"casual","Sawyer Ave & Irving Park Rd",123
"casual","MTV Hubbard St",41
"member","Greenview Ave & Fullerton Ave",1475
"member","Canal St & Adams St",3578
"member","Humboldt Blvd & Armitage Ave",487
"member","Sheridan Rd & Buena Ave",1538
"member","Leavitt St & Chicago Ave",765
"member","Broadway & Waveland Ave",2398
"member","Franklin St & Monroe St",1936
"member","Michigan Ave & Jackson Blvd",902
"casual","Franklin St & Monroe St",462
"casual","Stave St & Armitage Ave",219
"casual","State St & Randolph St",914
"member","State St & Randolph St",1775
"member","Lincoln Ave & Diversey Pkwy",1321
"casual","Millennium Park",2440
"member","Theater on the Lake",1711
"casual","Theater on the Lake",1597
"member","Pine Grove Ave & Waveland Ave",1245
"member","State St & Pearson St",611
"member","Damen Ave & Division St",597
"member","Millennium Park",1321
"casual","Damen Ave & Division St",258
"casual","Pine Grove Ave & Waveland Ave",487
"casual","LaSalle St & Adams St",150
"member","Wells St & Concord Ln",4679
"member","Sheridan Rd & Argyle St",645
"casual","Canal St & Taylor St",265
"casual","Michigan Ave & Washington St",1034
"casual","Broadway & Argyle St",353
"casual","Throop St & Taylor St",166
"casual","Wood St & Milwaukee Ave",581
"casual","Larrabee St & Armitage Ave",467
"casual","Morgan St & 18th St",282
"casual","Franklin St & Chicago Ave",494
"casual","California Ave & Fletcher St",178
"casual","Kedzie Ave & 21st St",27
"casual","Claremont Ave & Hirsch St",115
"casual","Western Ave & Walton St",451
"casual","Clark St & Leland Ave",572
"casual","Warren Park East",78
"casual","Drake Ave & Montrose Ave",115
"casual","Racine Ave & Randolph St",326
"casual","Kedzie Ave & 110th St",28
"member","Clark St & Leland Ave",1464
"member","Western Ave & Walton St",906
"casual","Sheridan Rd & Loyola Ave",198
"casual","Clark St & Elm St",1048
"casual","Ogden Ave & Congress Pkwy",64
"casual","Wabash Ave & 9th St",886
"member","Damen Ave & Cullerton St",174
"member","Clinton St & Roosevelt Rd",1196
"member","Western Ave & Leland Ave",574
"member","Clark St & Elm St",2669
"member","Sheridan Rd & Loyola Ave",261
"member","Wabash Ave & 9th St",1472
"member","Damen Ave & Cortland St",1091
"member","Sheffield Ave & Wellington Ave",1743
"member","Oakley Ave & Touhy Ave",57
"member","Eastlake Ter & Rogers Ave",7
"member","Aberdeen St & Randolph St",1036
"member","Clark St & Randolph St",1212
"member","Sheffield Ave & Kingsbury St",1289
"member","Orleans St & Merchandise Mart Plaza",2706
"member","Clark St & Ida B Wells Dr",966
"member","Wells St & Elm St",3246
"member","Buckingham Fountain",209
"member","Wacker Dr & Washington St",1093
"member","St. Clair St & Erie St",2078
"member","Prairie Ave & 43rd St",72
"member","Public Rack - Campbell Ave & Pratt Blvd",6
"member","Buckingham Fountain (Temp)",32
"member","Bernard St & Elston Ave",191
"member","University Ave & 57th St",4186
"casual","Buckingham Fountain (Temp)",38
"casual","California Ave & North Ave",171
"casual","Wacker Dr & Washington St",267
"member","Broadway & Berwyn Ave",808
"member","LaSalle Dr & Huron St",1017
"member","Elizabeth (May) St & Fulton St",41
"casual","Wabash Ave & Wacker Pl",672
"casual","Broadway & Cornelia Ave",870
"member","Leavitt St & Lawrence Ave",253
"member","Michigan Ave & Lake St",1667
"member","Clarendon Ave & Gordon Ter",2197
"member","Racine Ave & Washington Blvd",682
"member","Lakefront Trail & Wilson Ave",464
"member","State St & Kinzie St",1568
"member","Calumet Ave & 33rd St",1766
"member","Streeter Dr & Grand Ave",2261
"casual","Streeter Dr & Grand Ave",5605
"member","Halsted St & Clybourn Ave",2759
"casual","Homewood Ave & Monterey Ave",1
"member","Valli Produce - Evanston Plaza",52
"casual","Pulaski Rd & 51st St",76
"casual","State St & 33rd St",155
"casual","Warren Park West",55
"casual","Halsted St & Maxwell St",575
"member","Cherry Ave & Blackhawk St",205
"member","Southport Ave & Irving Park Rd",806
"member","Sheffield Ave & Webster Ave",1640
"member","Franklin St & Lake St",766
"member","Ritchie Ct & Banks St",951
"casual","Sheffield Ave & Webster Ave",631
"casual","Southport Ave & Irving Park Rd",342
"member","Logan Blvd & Elston Ave",279
"casual","Franklin St & Lake St",295
"casual","Logan Blvd & Elston Ave",145
"casual","Ritchie Ct & Banks St",442
"casual","Halsted St & Polk St",690
"casual","Paulina Ave & North Ave",563
"casual","Rockwell St & Archer Ave",27
"casual","Paulina St & Howard St",107
"casual","Campbell Ave & North Ave",409
"casual","Public Rack - Kimball Ave & Carmen Ave",5
"member","Broadway & Sheridan Rd",1072
"casual","Broadway & Sheridan Rd",389
"casual","Lincoln Ave & Diversey Pkwy",594
"member","LaSalle St & Adams St",447
"member","Cottage Grove Ave & Oakwood Blvd",43
"member","Western Ave & Division St",369
"casual","Cottage Grove Ave & Oakwood Blvd",39
"casual","Michigan Ave & Jackson Blvd",900
"member","Stave St & Armitage Ave",359
"casual","Ogden Ave & Chicago Ave",673
"casual","Damen Ave & Leland Ave",359
"casual","Paulina St & Flournoy St",206
"casual","Smith Park",121
"member","Halsted St & Willow St",278
"member","Wood St & Hubbard St",134
"member","Lincoln Park Conservatory",283
"member","Damen Ave & Sunnyside Ave",151
"member","State St & Chicago Ave",616
"casual","Clark St & Montrose Ave",81
"casual","Lincoln Park Conservatory",192
"casual","Damen Ave & Sunnyside Ave",40
"casual","Halsted St & Willow St",92
"member","McClurg Ct & Erie St",1474
"member","Franklin St & Illinois St",1387
"member","Francisco Ave & Foster Ave",236
"casual","Wells St & Concord Ln",2887
"casual","McClurg Ct & Erie St",535
"casual","Kedzie Ave & Harrison St",10
"casual","Franklin St & Illinois St",644
"casual","Rockwell & 111th St",1
"member","Winchester (Ravenswood) Ave & Balmoral Ave",200
"casual","Francisco Ave & Foster Ave",97
"casual","Halsted & 63rd - Kennedy-King Vaccination Site",4
"member","Damen Ave & Melrose Ave",246
"member","W Armitage Ave & N Sheffield Ave",193
"casual","Clark St & Newport St",988
"casual","Sheridan Rd & Argyle St",287
"casual","Francisco Ave & Bloomingdale Ave",33
"casual","Damen Ave & Melrose Ave",116
"casual","Dearborn St & Van Buren St",194
"casual","W Armitage Ave & N Sheffield Ave",98
"member","Dodge Ave & Mulford St",32
"casual","Southport Ave & Belmont Ave",670
"member","Western Ave & Granville Ave",164
"member","Benson Ave & Church St",795
"casual","Wolcott (Ravenswood) Ave & Montrose Ave",370
"casual","Halsted St & 21st St",132
"member","Halsted St & 21st St",269
"member","Laflin St & Cullerton St",291
"casual","Western Ave & Leland Ave",234
"casual","Damen Ave & Cullerton St",124
"casual","Damen Ave & Cortland St",765
"casual","Sheridan Rd & Noyes St (NU)",624
"casual","Clinton St & Roosevelt Rd",479
"casual","Sheffield Ave & Wellington Ave",1020
"casual","Laflin St & Cullerton St",189
"member","Ogden Ave & Congress Pkwy",234
"casual","Public Rack - Lawndale Ave & Diversey Ave",16
"casual","Broadway & Berwyn Ave",245
"casual","Michigan Ave & Lake St",861
"casual","LaSalle Dr & Huron St",599
"casual","Leavitt St & Lawrence Ave",130
"member","Broadway & Cornelia Ave",1841
"member","Wabash Ave & Wacker Pl",1011
"casual","Central Park Ave & Elbridge Ave",176
"casual","Kedzie Ave & 48th Pl",111
"casual","Morgan St & Polk St",402
"casual","Clark St & Touhy Ave",36
"member","Morgan St & Polk St",2542
"member","Central Park Ave & Elbridge Ave",284
"member","Claremont Ave & Hirsch St",218
"casual","Albany Ave & Montrose Ave",101
"member","Damen Ave & Wellington Ave",429
"member","Franklin St & Adams St (Temp)",1611
"casual","Larrabee St & Division St",646
"casual","Franklin St & Adams St (Temp)",518
"member","Larrabee St & Division St",1646
"casual","Sheridan Rd & Greenleaf Ave",112
"casual","Halsted St & Clybourn Ave",1009
"member","Sheridan Rd & Greenleaf Ave",224
"casual","Damen Ave & Wellington Ave",299
"member","Sheridan Rd & Columbia Ave",459
"member","Ada St & Washington Blvd",979
"casual","Sheridan Rd & Columbia Ave",209
"casual","Elston Ave & Wabansia Ave",173
"member","Public Rack - Sacramento Ave & Devon Ave",4
"member","N Carpenter St & W Lake St",448
"casual","Ada St & Washington Blvd",383
"casual","Halsted St & 73rd St",7
"member","Elston Ave & Wabansia Ave",311
"casual","N Carpenter St & W Lake St",134
"member","Public Rack - Western Ave & Devon Ave",28
"casual","Calumet Ave & 33rd St",123
"member","Racine Ave & Randolph St",853
"member","Drake Ave & Montrose Ave",161
"casual","Wells St & 19th St",173
"member","Talman Ave & Addison St",478
"member","Warren Park East",144
"casual","N Paulina St & Lincoln Ave",112
"casual","Talman Ave & Addison St",260
"casual","Archer (Damen) Ave & 37th St",35
"casual","Elmwood Ave & Austin St",42
"member","Public Rack - Chase Ave & Touhy Ave - NW",1
"casual","Western Ave & Division St",173
"member","Clark St & Montrose Ave",168
"casual","MLK Jr Dr & Pershing Rd",9
"casual","Wood St & Hubbard St",56
"member","Drake Ave & Addison St",102
"casual","Woodlawn Ave & 55th St",216
"casual","Rush St & Superior St",769
"casual","Elston Ave & George St",116
"casual","Canal St & Madison St",854
"casual","Bissell St & Armitage Ave*",544
"casual","Delano Ct & Roosevelt Rd",527
"member","Ridge Blvd & Touhy Ave",99
"member","State St & Harrison St",716
"member","Ashland Ave & Lake St",460
"member","Rhodes Ave & 32nd St",818
"casual","Racine Ave & Washington Blvd",259
"casual","Lakefront Trail & Wilson Ave",406
"member","Oakley Ave & Irving Park Rd",255
"casual","Ashland Ave & Lake St",311
"casual","State St & Kinzie St",556
"member","Southport Ave & Clybourn Ave",1402
"casual","Clarendon Ave & Gordon Ter",648
"casual","State St & Harrison St",393
"member","Loomis St & Jackson Blvd",764
"casual","Loomis St & Jackson Blvd",149
"member","Public Rack - Western Ave & 96th St",3
"casual","Rhodes Ave & 32nd St",80
"casual","Southport Ave & Clybourn Ave",509
"casual","Manor Ave & Leland Ave",90
"casual","Walsh Park",292
"member","Aberdeen St & Jackson Blvd",1141
"member","California Ave & Francis Pl (Temp)",320
"casual","Elizabeth (May) St & Fulton St",15
"member","Racine Ave & 13th St",185
"member","Western Ave & 24th St",78
"member","Evanston Civic Center",140
"casual","State St & Pearson St",196
"casual","Cottage Grove Ave & 63rd St",61
"member","Blackstone Ave & Hyde Park Blvd",449
"casual","S Wentworth Ave & W 111th St",8
"member","Woodlawn Ave & 55th St",592
"casual","Evanston Civic Center",125
"member","Woodlawn Ave & Lake Park Ave",165
"member","Public Rack - Lockwood Ave & Diversey Ave",46
"member","Cottage Grove Ave & 63rd St",194
"casual","Washtenaw Ave & Peterson Ave",44
"member","Western Ave & 21st St",125
"casual","Wood St & Augusta Blvd",239
"member","Public Rack - Hamlin Ave & Fullerton Ave",76
"casual","Bosworth Ave & Howard St",50
"casual","Damen Ave & 47th St",2
"casual","Austin Blvd & Madison St",21
"member","Avondale Ave & Irving Park Rd",194
"casual","Kimbark Ave & 53rd St",154
"casual","State St & Chicago Ave",197
"member","Maplewood Ave & Peterson Ave",23
"casual","Damen Ave & 51st St",6
"member","Indiana Ave & Roosevelt Rd",2151
"casual","Aberdeen St & Randolph St",419
"member","Wood St & Webster Ave",238
"member","Desplaines St & Jackson Blvd",1445
"member","Franklin St & Jackson Blvd",1072
"casual","N Sheffield Ave & W Wellington Ave",65
"casual","Buckingham Fountain",841
"member","California Ave & North Ave",275
"member","Clark St & Jarvis Ave",79
"member","Manor Ave & Leland Ave",193
"casual","Avondale Ave & Irving Park Rd",126
"member","State St & Van Buren St",979
"casual","Indiana Ave & Roosevelt Rd",1537
"casual","Greenview Ave & Fullerton Ave",723
"casual","State St & Van Buren St",458
"casual","Broadway & Waveland Ave",1037
"casual","Canal St & Adams St",883
"casual","Michigan Ave & 114th St",8
"member","Michigan Ave & 114th St",2
"member","Cottage Grove Ave & 47th St",181
"member","MTV Hubbard St",190
"member","Kedzie Ave & Milwaukee Ave",1581
"member","Christiana Ave & Lawrence Ave",195
"casual","Central St & Girard Ave",78
"casual","California Ave & Montrose Ave",221
"casual","Rockwell St & Cermak Rd",31
"casual","Burnham Greenway & 112th St",26
"casual","Paulina St & 18th St",214
"member","Honore St & Division St",1362
"member","Burnham Greenway & 112th St",23
"casual","Emerald Ave & 28th St",78
"casual","Halsted St & 56th St",13
"member","Leavitt St & North Ave",738
"casual","Doty Ave & 111th St",12
"casual","Oakley Ave & Irving Park Rd",111
"member","Wells St & 19th St",164
"member","Central St & Girard Ave",138
"casual","Museum of Science and Industry",428
"member","Kildare Ave & Montrose Ave",105
"member","Museum of Science and Industry",284
"casual","Kildare Ave & Montrose Ave",63
"casual","South Shore Dr & 67th St",59
"casual","Western Ave & 21st St",107
"casual","Lake Park Ave & 35th St",133
"member","Ellis Ave & 58th St",1194
"member","Canal St & Harrison St",258
"member","Wabash Ave & Cermak Rd",184
"casual","Central Park Ave & Bloomingdale Ave",148
"member","Loomis St & 87th St",4
"casual","California Ave & 21st St",42
"casual","Public Rack - Eli Whitney Public School",9
"casual","Racine Ave & 65th St",8
"member","Lake Park Ave & 35th St",203
"member","Sheridan Rd & Noyes St (NU)",898
"member","Big Marsh Park",23
"casual","Ashland Ave & 66th St",3
"member","South Shore Dr & 67th St",67
"member","Burnham Greenway & 105th St",19
"member","Francisco Ave & Bloomingdale Ave",48
"casual","Albany Ave & 26th St",9
"member","Ashland Ave & 13th St",558
"member","Kilbourn Ave & Irving Park Rd",69
"member","Richmond St & Diversey Ave",244
"casual","Sheridan Rd & Buena Ave",476
"casual","Humboldt Blvd & Armitage Ave",332
"member","63rd St Beach",23
"casual","Cottage Grove Ave & 111th St",1
"casual","Martin Luther King Dr & 111th St",18
"casual","Public Rack - Pulaski Rd & Armitage Ave",21
"member","Western Blvd & 48th Pl",23
"casual","Western Blvd & 48th Pl",42
"casual","Austin Blvd & Chicago Ave",19
"casual","Public Rack - Milwaukee Ave & Addison St",6
"member","Public Rack - Lorel Ave & Grand Ave",2
"member","Cottage Grove Ave & 111th St",1
"member","Cottage Grove Ave & 111th Pl",11
"casual","Clark St & Ida B Wells Dr",341
"casual","Orleans St & Merchandise Mart Plaza",899
"member","Lincoln Ave & Waveland Ave",356
"casual","Nordica & Medill",16
"member","Western & 28th - Velasquez Institute Vaccination Site",1
"casual","Avenue O & 118th St",6
"member","Austin Blvd & Chicago Ave",12
"member","Avenue O & 118th St",1
"member","Pulaski Rd & Eddy St (Temp)",18
"casual","Kostner Ave & Armitage Ave",10
"member","Clarendon Ave & Junior Ter",819
"casual","Sheffield Ave & Kingsbury St",446
"member","Winchester Ave & Elston Ave",324
"member","California & 16th St",17
"casual","Western Blvd & 49th St",4
"member","Stewart Ave & 63rd St",13
